session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,18309,310000,Cidades-Inteligentes-02-Periferia,37.0,-100.05,-46.32
Analytics_Data_Attempt_2,6,0,Cidades-Inteligentes-02-Periferia,38.22,-98.56,15.0
Analytics_Data_Attempt_2,105,1000,Cidades-Inteligentes-02-Periferia,29.81,-98.56,12.47
Analytics_Data_Attempt_2,204,2000,Cidades-Inteligentes-02-Periferia,25.01,-98.56,13.71
Analytics_Data_Attempt_2,304,3000,Cidades-Inteligentes-02-Periferia,33.96,-98.56,14.32
Analytics_Data_Attempt_2,403,4000,Cidades-Inteligentes-02-Periferia,42.89,-98.56,15.34
Analytics_Data_Attempt_2,478,5000,Cidades-Inteligentes-02-Periferia,47.68,-98.56,16.23
Analytics_Data_Attempt_2,507,7000,Cidades-Inteligentes-02-Periferia,49.42,-98.56,16.3
Analytics_Data_Attempt_2,621,8000,Cidades-Inteligentes-02-Periferia,57.27,-98.56,16.14
Analytics_Data_Attempt_2,693,9000,Cidades-Inteligentes-02-Periferia,62.92,-98.56,16.8
Analytics_Data_Attempt_2,800,10000,Cidades-Inteligentes-02-Periferia,67.17,-98.56,14.36
Analytics_Data_Attempt_2,910,11000,Cidades-Inteligentes-02-Periferia,68.91,-98.56,12.42
Analytics_Data_Attempt_2,976,12000,Cidades-Inteligentes-02-Periferia,68.85,-98.56,13.59
Analytics_Data_Attempt_2,1050,13000,Cidades-Inteligentes-02-Periferia,68.92,-98.56,12.49
Analytics_Data_Attempt_2,1146,14000,Cidades-Inteligentes-02-Periferia,66.78,-98.56,11.0
Analytics_Data_Attempt_2,1228,15000,Cidades-Inteligentes-02-Periferia,69.3,-98.56,12.76
Analytics_Data_Attempt_2,1334,16000,Cidades-Inteligentes-02-Periferia,68.2,-98.56,14.36
Analytics_Data_Attempt_2,1447,17000,Cidades-Inteligentes-02-Periferia,69.34,-98.56,13.9
Analytics_Data_Attempt_2,1513,18000,Cidades-Inteligentes-02-Periferia,68.52,-98.56,8.09
Analytics_Data_Attempt_2,1621,19000,Cidades-Inteligentes-02-Periferia,65.9,-98.56,13.58
Analytics_Data_Attempt_2,1729,20000,Cidades-Inteligentes-02-Periferia,72.03,-98.56,10.24
Analytics_Data_Attempt_2,1814,21000,Cidades-Inteligentes-02-Periferia,75.68,-98.56,6.48
Analytics_Data_Attempt_2,1883,22000,Cidades-Inteligentes-02-Periferia,72.31,-98.56,3.55
Analytics_Data_Attempt_2,1994,23000,Cidades-Inteligentes-02-Periferia,70.32,-98.46,-3.51
Analytics_Data_Attempt_2,2107,24000,Cidades-Inteligentes-02-Periferia,69.0,-98.56,-10.1
